7.478	24	7.461	12.2	8.265	2.88	0	0	8.265	1.48	8.329	0.00264	0.851	0.5	0.851	0.056	0.868	0.34	0.94	0.02	0.94	0.013	0.855	0.0022	0	0	0.76	0.026	0.743	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.048	26	8.028	13.3	8.905	3.1	0	0	8.905	1.59	8.977	0.00365	0.929	0.6	0.929	0.066	0.949	0.39	1.022	0.021	1.022	0.014	0	0	0	0	0.831	0.028	0.811	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.639	28	8.616	14.3	9.572	3.39	0	0	9.572	1.74	9.651	0.00504	1.012	0.65	1.012	0.072	1.035	0.42	1.107	0.023	1.107	0.015	1.02	0.0021	0	0	0.907	0.029	0.884	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.252	29.8	9.225	15.2	10.264	3.7	10.366	0.0314	10.26	1.9	10.35	0.0063	1.098	0.7	1.098	0.077	1.125	0.46	1.195	0.024	1.191	0.016	1.114	0.0027	1.297	0.0012	0.984	0.03	0.957	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.886	31.3	9.855	16.1	10.982	3.98	11.101	0.097	10.975	2.05	11.074	0.0078	1.188	0.81	1.188	0.09	1.219	0.49	1.294	0.025	1.286	0.016	1.212	0.0033	1.412	0.0042	1.068	0.031	1.037	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.544	32.7	10.508	16.8	11.726	4.25	11.864	0.194	11.72	2.19	11.826	0.0095	1.282	0.87	1.282	0.096	1.317	0.52	1.386	0.027	1.38	0.018	1.315	0.0038	1.524	0.0047	1.155	0.031	1.12	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.222	34.1	11.182	17.6	12.496	4.54	12.652	0.323	12.49	2.34	12.601	0.0116	1.379	0.98	1.379	0.108	1.42	0.58	1.492	0.029	1.486	0.019	1.424	0.0045	1.648	0.0051	1.245	0.034	1.204	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.924	35.6	11.878	18.4	0	0	13.292	4.84	13.469	0.484	13.284	2.5	0	0	13.404	0.0139	0	0	1.481	1.09	1.48	0.121	1.526	0.64	0	0	1.601	0.029	1.593	0.02	1.523	0.0052	0	0	1.777	0.0013	1.777	0.0052	1.339	0.036	1.293	0.06	0	0	0	0	0	0
12.651	36.8	12.598	19	0	0	14.111	5.12	14.311	0.676	14.104	2.64	0	0	14.231	0.0162	0	0	1.581	1.2	1.58	0.13	1.632	0.69	0	0	1.707	0.03	1.699	0.02	1.647	0.006	0	0	1.906	0.0018	1.907	0.0054	1.435	0.037	1.383	0.063	0	0	0	0	0	0
13.395	38	13.336	19.7	0	0	14.961	5.39	15.185	0.85	14.952	2.78	0	0	15.089	0.0186	0	0	1.694	1.3	1.693	0.15	1.752	0.75	0	0	1.827	0.031	1.818	0.022	1.775	0.0069	0	0	2.05	0.0022	2.051	0.0058	1.542	0.039	1.482	0.067	0	0	0	0	0	0
14.165	39.1	14.098	20.3	0	0	15.836	5.63	16.085	1	15.825	2.91	0	0	15.971	0.0215	0	0	1.806	1.4	1.805	0.16	1.872	0.81	0	0	1.947	0.032	1.936	0.022	1.902	0.0079	0	0	2.196	0.0027	2.196	0.0061	1.649	0.04	1.582	0.069	0	0	0	0	0	0
14.958	40.1	14.883	20.9	0	0	16.738	5.89	17.013	1.13	16.726	3.04	0	0	16.88	0.0244	0	0	1.923	1.5	1.92	0.17	1.996	0.86	2.078	0.0044	2.072	0.035	2.06	0.025	2.035	0.0088	2.153	0.012	2.347	0.0031	2.347	0.0066	1.762	0.041	1.686	0.073	0	0	0	0	0	0
15.775	41	15.691	21.4	0	0	17.667	6.15	17.969	1.25	17.653	3.17	0	0	17.816	0.0275	0	0	2.042	1.66	2.04	0.19	2.124	0.9	2.219	0.0116	2.201	0.038	2.187	0.026	2.171	0.01	2.304	0.03	2.503	0.0036	2.503	0.0072	1.876	0.041	1.792	0.078	0	0	0	0	0	0
16.615	41.8	16.521	21.9	0	0	18.623	6.35	18.952	1.33	18.607	3.28	18.982	0.001	18.78	0.0305	0	0	2.166	1.8	2.163	0.2	2.257	0.93	2.367	0.056	2.335	0.049	2.319	0.034	2.312	0.011	2.462	0.041	2.664	0.005	2.664	0.0095	1.996	0.041	1.902	0.082	0	0	0	0	0	0
17.479	42.6	17.374	22.4	0	0	19.607	6.61	19.965	1.45	19.59	3.41	19.998	0.0015	19.771	0.0341	0	0	2.293	1.9	2.29	0.21	2.395	1	2.518	0.1	2.473	0.048	2.456	0.034	2.458	0.0119	2.623	0.055	2.831	0.0051	2.831	0.0095	2.12	0.043	2.016	0.085	0	0	0	0	0	0
18.367	43.3	18.251	22.8	0	0	20.619	6.8	21.005	1.54	20.599	3.51	21.042	0.0023	20.789	0.0377	0	0	2.424	2	2.42	0.23	2.537	1.07	2.675	0.15	2.617	0.05	2.598	0.035	2.609	0.0128	2.791	0.068	3.004	0.0055	3.004	0.01	2.249	0.044	2.133	0.089	0	0	0	0	0	0
19.279	44	19.15	23.2	0	0	21.657	6.99	22.074	1.64	21.634	3.61	22.115	0.0032	21.836	0.0418	0	0	2.558	2.1	2.554	0.24	2.683	1.14	2.836	0.2	2.763	0.052	2.741	0.035	2.763	0.0139	2.965	0.083	3.181	0.0059	3.181	0.011	2.382	0.046	2.253	0.092	0	0	0	0	0	0
20.216	44.6	20.074	23.5	0	0	22.724	7.18	23.172	1.72	22.699	3.71	23.217	0.0043	22.911	0.0446	0	0	2.697	2.3	2.692	0.25	2.834	1.2	3.001	0.24	2.916	0.053	2.891	0.035	2.923	0.0149	3.144	0.109	3.364	0.0062	3.364	0.011	2.519	0.046	2.377	0.095	0	0	0	0	0	0
21.177	45.1	21.02	23.9	0	0	23.819	7.35	24.299	1.79	23.791	3.81	24.349	0.006	24.013	0.0496	0	0	2.839	2.4	2.833	0.26	2.99	1.28	3.172	0.28	3.073	0.054	3.045	0.036	3.087	0.0157	3.329	0.137	3.553	0.0065	3.553	0.011	2.66	0.048	2.503	0.097	0	0	0	0	0	0
22.163	45.6	21.99	24.2	21.708	0.001	24.943	7.52	25.455	1.88	24.912	3.9	25.511	0.007	25.144	0.0547	0	0	2.984	2.5	2.978	0.28	3.151	1.39	3.348	0.32	3.234	0.059	3.203	0.038	3.256	0.0166	3.52	0.147	3.743	0.0073	3.75	0.012	2.806	0.051	2.634	0.101	0	0	0	0	0	0
23.174	46.1	22.984	24.5	22.693	0.00115	26.095	7.69	26.644	1.98	26.06	3.99	26.702	0.008	26.304	0.06	0	0	3.134	2.6	3.127	0.29	3.317	1.51	3.528	0.38	3.402	0.062	3.367	0.039	3.43	0.018	3.718	0.161	3.951	0.008	3.951	0.013	2.957	0.054	2.767	0.107	0	0	0	0	0	0
24.21	45.3	24.002	24.5	23.702	0.00135	27.276	7.85	27.863	2.09	27.238	4.07	27.924	0.01	27.493	0.065	27.939	0.017	3.287	2.8	3.279	0.31	3.487	1.63	3.714	0.43	3.573	0.065	3.535	0.041	3.608	0.019	3.922	0.18	4.16	0.0087	4.16	0.014	3.112	0.056	2.905	0.112	0	0	0	0	0	0
25.271	45.7	25.044	24.7	24.735	0.00154	28.486	7.99	29.111	2.19	28.444	4.15	29.176	0.012	28.711	0.07	29.199	0.049	3.444	2.9	3.435	0.32	3.663	1.75	3.905	0.46	3.75	0.113	3.708	0.071	0	0	3.792	0.0205	4.132	0.206	4.376	0.016	4.376	0.025	0	0	3.272	0.059	3.045	0.114	0	0
26.359	46	26.111	24.9	25.793	0.00179	29.726	8.09	30.393	2.28	29.679	4.2	30.46	0.013	29.959	0.071	30.489	0.092	3.605	3	3.595	0.34	3.843	1.84	4.101	0.52	3.933	0.114	3.886	0.07	0	0	3.98	0.0225	4.349	0.226	4.6	0.016	4.6	0.025	0	0	3.437	0.06	3.189	0.122	0	0
27.472	46.2	27.202	25	26.875	0.00203	30.995	8.21	31.704	2.37	30.944	4.26	31.774	0.015	31.236	0.075	31.812	0.147	3.769	3.2	3.759	0.36	4.029	1.96	4.302	0.58	4.121	0.114	4.07	0.069	0	0	4.173	0.0245	4.572	0.25	4.829	0.017	4.829	0.026	0	0	3.606	0.063	3.335	0.129	0	0
28.612	46.4	28.317	25.2	27.981	0.00227	32.295	8.34	33.047	2.47	32.239	4.32	33.12	0.017	32.544	0.081	33.166	0.212	3.938	3.4	3.926	0.38	4.221	2.07	4.508	0.64	4.314	0.116	4.258	0.07	0	0	4.371	0.026	4.802	0.28	5.065	0.018	5.065	0.027	0	0	3.78	0.064	3.485	0.136	0	0
29.782	46.6	29.461	25.3	29.112	0.00262	33.624	8.42	34.419	2.55	33.562	4.36	34.496	0.019	33.881	0.086	34.552	0.29	4.106	3.6	4.093	0.4	4.414	2.16	4.714	0.71	4.512	0.115	4.451	0.069	0	0	4.569	0.029	5.034	0.3	5.307	0.018	5.307	0.027	0	0	3.955	0.065	3.634	0.145	0	0
