2.558	2.1	2.554	0.24	2.683	0.36	2.836	0.2	2.763	0.6	2.741	0.41	2.763	0.0139	2.965	0.026	3.181	0.068	3.181	0.12	2.382	0.0144	2.253	0.092	0	0	0	0
2.697	2.2	2.692	0.25	2.834	0.38	3.001	0.23	2.916	0.65	2.891	0.44	2.923	0.015	3.144	0.035	3.364	0.076	3.364	0.13	2.519	0.0147	2.377	0.094	0	0	0	0
2.839	2.4	2.833	0.26	2.99	0.41	3.172	0.28	3.073	0.71	3.045	0.46	3.087	0.016	3.329	0.044	3.553	0.084	3.553	0.15	2.66	0.0154	2.503	0.097	0	0	0	0
2.984	2.4	2.978	0.27	3.151	0.45	3.348	0.32	3.234	0.81	3.203	0.52	3.256	0.016	3.52	0.047	3.743	0.1	3.75	0.17	2.806	0.0163	2.634	0.1	0	0	0	0
3.134	2.6	3.127	0.29	3.317	0.49	3.528	0.37	3.402	0.91	3.367	0.58	3.43	0.018	3.718	0.052	3.951	0.12	3.951	0.19	2.957	0.017	2.767	0.106	0	0	0	0
3.287	2.8	3.279	0.31	3.487	0.53	3.714	0.43	3.573	1.01	3.535	0.63	3.608	0.019	3.922	0.06	4.16	0.13	4.16	0.22	3.112	0.018	2.905	0.112	0	0	0	0
3.444	1.44	3.435	0.16	3.663	0.96	3.905	0.23	3.75	1.9	3.708	1.16	3.792	0.0104	4.132	0.113	4.376	0.26	4.376	0.41	3.272	0.032	3.045	0.058	0	0	0	0
3.605	1.6	3.595	0.18	3.843	1.01	4.101	0.27	3.933	2	3.886	1.21	3.98	0.0118	4.349	0.125	4.6	0.28	4.6	0.44	3.437	0.033	3.189	0.064	0	0	0	0
3.769	1.7	3.759	0.19	4.029	1.15	4.302	0.31	4.121	2.1	4.07	1.26	4.173	0.013	4.572	0.146	4.829	0.31	4.829	0.47	3.606	0.037	3.335	0.068	0	0	0	0
3.938	1.8	3.926	0.2	4.221	1.22	4.508	0.34	4.314	2.2	4.258	1.3	4.371	0.0139	4.802	0.164	5.065	0.34	5.065	0.51	3.78	0.038	3.485	0.072	0	0	0	0
4.106	2	4.093	0.22	4.414	1.35	4.714	0.38	4.512	2.3	4.451	1.4	4.569	0.015	5.034	0.189	5.307	0.36	5.307	0.54	3.955	0.04	3.634	0.078	0	0	0	0
4.286	2.1	4.272	0.23	4.62	1.46	4.934	0.42	4.717	2.5	4.649	1.5	0	0	4.781	0.017	5.281	0.209	5.542	0.4	5.553	0.58	0	0	4.142	0.043	3.795	0.083
4.466	2.2	4.451	0.24	4.828	1.55	5.156	0.46	4.927	2.6	4.852	1.5	0	0	4.994	0.018	5.531	0.225	5.797	0.44	5.809	0.62	0	0	4.331	0.044	3.954	0.088
4.651	2.4	4.634	0.27	5.042	1.66	5.384	0.51	5.143	2.7	5.062	1.6	5.483	0.0051	5.212	0.02	5.792	0.25	6.06	0.47	6.075	0.67	5.891	0.0027	4.529	0.046	4.121	0.098
4.84	2.6	4.822	0.29	5.263	1.77	5.613	0.54	5.363	2.9	5.276	1.7	0	0	5.434	0.022	6.054	0.27	6.326	0.5	6.342	0.71	0	0	4.73	0.048	4.289	0.106
5.033	2.8	5.013	0.31	5.489	1.88	5.851	0.58	5.593	3	5.497	1.8	0	0	5.66	0.024	6.327	0.29	6.599	0.54	6.617	0.75	0	0	4.929	0.05	4.453	0.113
5.23	3	5.208	0.33	5.722	1.99	6.09	0.64	5.829	3.2	5.723	1.9	0	0	5.893	0.026	6.604	0.318	6.883	0.57	6.901	0.8	0	0	5.146	0.052	4.633	0.124
5.432	3.2	5.408	0.35	5.961	2.11	6.339	0.67	6.071	3.2	5.956	1.9	0	0	6.128	0.029	6.892	0.34	7.186	0.59	7.186	0.84	0	0	5.363	0.053	4.809	0.131
5.636	3.3	5.61	0.37	6.206	2.24	6.587	0.7	6.317	3.5	6.196	2.1	0	0	6.37	0.031	7.183	0.37	7.471	0.64	7.489	0.91	0	0	5.589	0.055	4.993	0.139
5.846	3.5	5.816	0.39	6.457	2.37	6.844	0.74	6.571	3.6	6.438	2.2	0	0	6.617	0.034	7.484	0.4	7.768	0.68	7.795	0.97	0	0	5.817	0.057	5.177	0.147
6.058	3.7	6.026	0.41	6.713	2.51	7.102	0.77	6.832	3.8	6.687	2.3	7.243	0.0063	6.867	0.037	7.79	0.43	8.087	0.73	8.105	1.03	7.93	0.0035	6.049	0.059	5.362	0.156
6.273	3.9	6.239	0.44	6.977	2.66	7.367	0.81	7.097	4	6.94	2.4	0	0	7.116	0.04	8.105	0.46	8.398	0.77	8.423	1.1	0	0	6.284	0.061	5.546	0.166
6.495	4.2	6.458	0.46	7.248	2.83	7.636	0.86	7.37	4.3	7.204	2.6	0	0	7.374	0.044	8.426	0.49	8.714	0.83	8.753	1.19	0	0	6.534	0.064	5.743	0.178
6.72	4.4	6.68	0.49	7.526	3	7.91	0.88	7.653	4.5	7.471	2.8	0	0	7.635	0.047	8.757	0.53	9.051	0.88	9.088	1.27	0	0	6.789	0.066	5.943	0.187
6.949	4.6	6.905	0.51	7.811	3.17	8.186	0.92	7.94	4.7	7.746	3	0	0	7.909	0.052	9.088	0.56	9.385	0.93	9.431	1.37	0	0	7.058	0.068	6.151	0.2
7.18	4.7	7.133	0.52	8.102	3.3	8.468	0.92	8.231	4.9	8.026	3.2	0	0	8.176	0.053	9.437	0.6	9.73	1	9.779	1.46	0	0	7.31	0.071	6.341	0.21
7.416	4.8	7.367	0.54	8.402	3.51	8.752	0.94	8.537	5.2	8.313	3.4	0	0	8.456	0.057	9.78	0.64	10.09	1.07	10.143	1.55	0	0	7.58	0.074	6.545	0.217
7.656	4.9	7.605	0.55	8.709	3.69	9.044	0.99	8.847	5.5	8.607	3.7	9.24	0.0059	8.738	0.058	10.144	0.68	10.46	1.15	10.511	1.7	10.344	0.0041	7.857	0.077	6.753	0.221
7.899	5.1	7.844	0.57	9.023	3.67	9.342	1.08	9.163	5.8	8.905	4	9.554	0.0152	9.023	0.061	10.516	0.68	10.834	1.24	10.89	1.8	10.733	0.0103	8.139	0.076	6.96	0.23
8.146	5.3	8.088	0.59	9.343	3.83	9.646	1.16	9.488	6.2	9.213	4.3	9.875	0.0212	9.316	0.065	10.895	0.71	11.217	1.33	11.277	1.9	11.13	0.0184	8.428	0.08	7.173	0.25
8.398	5.5	8.335	0.62	9.672	3.77	9.955	1.25	9.819	6.6	9.525	4.6	10.201	0.0275	9.612	0.069	11.285	0.71	11.608	1.43	11.675	2.1	11.538	0.027	8.724	0.079	7.387	0.26
8.652	6.7	8.586	0.75	10.01	3.7	10.268	1.53	10.159	6.4	9.845	4.6	10.532	0.061	9.91	0.087	11.685	0.71	12.009	1.42	12.082	2	11.955	0.044	9.027	0.078	7.604	0.32
8.911	8.1	8.84	0.91	10.354	3.84	10.59	1.9	10.511	5.7	10.176	4.2	10.871	0.107	10.217	0.111	12.096	0.74	12.421	1.31	12.5	1.9	12.385	0.061	9.337	0.081	7.822	0.4
9.175	9.6	9.099	1.08	10.708	3.74	10.912	2.28	10.868	5.2	10.51	3.9	11.211	0.159	10.525	0.135	12.513	0.73	12.841	1.23	12.924	1.7	12.82	0.075	9.65	0.08	8.042	0.49
9.443	11	9.362	1.23	11.071	3.6	11.242	2.64	11.235	4.9	10.854	3.7	11.562	0.218	10.84	0.157	12.942	0.71	13.273	1.19	13.361	1.6	13.27	0.087	9.975	0.079	8.266	0.57
9.713	12.1	9.628	1.35	11.443	3.7	11.576	2.93	11.61	4.5	11.205	3.5	11.916	0.278	11.16	0.177	13.382	0.75	13.709	1.14	13.807	1.55	13.731	0.101	10.309	0.083	8.494	0.63
9.989	13.2	9.899	1.48	11.824	3.59	11.915	3.23	11.992	4.4	11.561	3.6	12.275	0.345	11.481	0.198	13.83	0.73	14.158	1.16	14.262	1.55	14.199	0.111	10.647	0.081	8.722	0.71
10.268	13.9	10.172	1.56	12.213	3.7	12.261	3.42	12.39	4.4	11.931	3.6	12.643	0.405	11.812	0.213	14.291	0.77	14.625	1.2	14.738	1.55	14.683	0.126	10.994	0.084	8.953	0.76
10.551	14.6	10.45	1.64	12.614	3.53	12.611	3.62	12.794	4.5	12.307	3.8	13.015	0.47	12.142	0.228	14.765	0.74	15.097	1.29	15.216	1.6	15.178	0.127	11.349	0.081	9.184	0.81
10.839	15.1	10.731	1.69	13.024	3.34	12.967	3.75	13.211	4.6	12.691	4	13.393	0.52	12.48	0.239	15.248	0.71	15.582	1.38	15.709	1.7	15.685	0.13	11.712	0.079	9.42	0.86
11.13	15.5	11.016	1.74	13.443	3.44	13.328	3.9	13.635	4.8	13.084	4.2	13.778	0.58	12.823	0.251	15.742	0.74	16.077	1.49	16.213	1.8	16.203	0.143	12.085	0.083	9.658	0.9
11.426	16.2	11.306	1.82	13.875	3.23	13.694	4.1	14.073	4.9	13.488	4.4	14.168	0.65	13.169	0.268	16.249	0.71	16.585	1.6	16.731	1.9	16.735	0.14	12.466	0.078	9.897	0.96
11.726	16.4	11.598	1.84	14.316	3.32	14.066	4.2	14.519	5	13.898	4.7	14.565	0.7	13.52	0.275	16.77	0.74	17.104	1.7	17.258	1.9	17.28	0.151	12.855	0.082	10.137	0.98
12.031	16.8	11.896	1.89	14.77	3.4	14.443	4.3	14.978	5.1	14.319	4.9	14.967	0.79	13.877	0.29	17.302	0.77	17.635	1.8	17.8	2	17.839	0.161	13.255	0.085	10.381	1.03
12.339	17.3	12.196	1.94	15.236	3.15	14.825	4.5	15.447	5.3	14.749	5.2	15.375	0.82	14.236	0.305	17.848	0.72	18.177	2	18.353	2.1	18.412	0.153	13.662	0.079	10.622	1.08
12.651	17.8	12.5	1.99	15.711	3.2	15.212	4.6	15.931	5.4	15.191	5.5	15.79	0.88	14.601	0.318	18.405	0.75	18.734	2.1	18.922	2.2	18.997	0.16	14.082	0.082	10.871	1.14
12.968	17.9	12.809	2.01	16.202	3.3	15.605	4.7	16.426	5.6	15.641	5.9	16.209	0.93	14.97	0.33	18.98	0.77	19.304	2.3	19.505	2.3	19.599	0.165	14.511	0.086	11.118	1.17
13.291	18.8	13.127	2.1	16.708	2.9	16.008	4.9	16.931	5.5	16.104	5.9	16.639	1.01	15.35	0.35	19.571	0.68	19.888	2.4	20.101	2.3	20.217	0.146	14.953	0.075	11.372	1.25
13.618	19	13.442	2.13	17.222	2.8	16.41	5	17.454	5.9	16.577	6.5	17.069	1.06	15.727	0.36	20.169	0.68	20.487	2.7	20.715	2.5	20.844	0.145	15.4	0.075	11.62	1.29
13.946	19.4	13.761	2.17	17.751	2.5	16.817	5.1	17.992	6.2	17.061	7	17.505	1.31	16.109	0.37	20.784	0.6	21.099	2.9	21.342	2.7	21.491	0.127	15.861	0.066	11.871	1.34
14.282	19.6	14.087	2.19	18.296	1.8	17.235	5.2	18.541	6.6	17.557	7.7	17.95	1.16	16.498	0.38	21.42	0.43	21.724	3.3	21.981	2.9	22.153	0.091	16.333	0.047	12.124	1.37
14.62	19.7	14.414	2.2	18.856	1.8	17.655	5.3	19.11	6.9	18.069	8.2	18.399	1.2	16.89	0.39	22.072	0.44	22.37	3.7	22.643	3.1	22.836	0.092	16.819	0.048	12.377	1.41
14.961	20.1	14.746	2.25	19.427	1.44	18.081	5.4	19.688	7	18.589	8.6	18.853	1.26	17.286	0.4	22.735	0.36	23.028	3.9	23.319	3.2	23.527	0.075	17.314	0.04	12.633	1.47
15.308	20.1	15.082	2.25	20.018	1.45	18.509	5.4	20.28	7.1	19.118	9.1	19.312	1.28	17.687	0.41	23.416	0.37	23.698	4.1	24.007	3.3	24.241	0.077	17.826	0.04	12.89	1.51
15.66	20.4	15.423	2.29	20.624	1.1	18.946	5.6	20.894	7.2	19.665	9.5	19.777	1.32	18.094	0.43	24.117	0.28	24.39	4.3	24.718	3.4	24.971	0.059	18.347	0.031	13.146	1.56
16.016	20.8	15.767	2.33	21.248	1.11	19.387	5.7	21.523	7.3	20.224	10	20.249	1.37	18.501	0.44	24.836	0.29	25.099	4.5	25.446	3.4	25.723	0.06	18.884	0.031	13.403	1.62
16.377	21	16.116	2.3	21.889	1.1	19.834	5.7	22.169	7.4	20.798	10.5	20.727	1.39	18.916	0.45	25.574	0.29	25.825	4.8	26.195	3.5	26.492	0.063	19.433	0.032	13.66	1.6
16.741	21	16.467	2.4	22.549	0.8	20.286	5.8	22.835	7.5	21.386	11.1	21.21	1.43	19.332	0.46	26.333	0.2	26.571	5	26.963	3.6	27.284	0.044	19.998	0.0216	13.916	1.7
17.11	21	16.823	2.4	23.227	0.8	20.744	5.9	23.519	7.5	21.99	11.6	21.7	1.44	19.754	0.47	27.11	0.21	27.336	5.3	27.752	3.7	28.094	0.046	20.577	0.022	14.173	1.7
17.483	22	17.183	2.4	23.927	0.39	21.207	6.1	24.223	7.4	22.609	11.8	22.195	1.51	20.179	0.49	27.911	0.1	28.12	5.4	28.56	3.6	28.929	0.024	21.173	0.0113	14.429	1.8
17.893	22	17.571	2.4	24.65	0.4	21.716	6.1	24.872	7.4	23.143	12.4	22.727	1.54	20.67	0.5	28.753	0.11	28.846	5.6	29.327	3.7	29.796	0.025	21.825	0.0116	14.746	1.8
