11.13	26	11.016	2.91	13.328	6.5	13.778	0.97	12.823	0.422	9.658	1.51
11.426	26.8	11.306	3	13.694	6.8	14.168	1.07	13.169	0.442	9.897	1.58
11.726	27.5	11.598	3.08	14.066	7	14.565	1.17	13.52	0.462	10.137	1.65
12.031	28.2	11.896	3.16	14.443	7.3	14.967	1.32	13.877	0.486	10.381	1.73
12.339	29	12.196	3.25	14.825	7.5	15.375	1.37	14.236	0.511	10.622	1.82
12.651	29.8	12.5	3.34	15.212	7.8	15.79	1.48	14.601	0.533	10.871	1.91
12.968	30.6	12.809	3.42	15.605	8	16.209	1.58	14.97	0.556	11.118	2
13.291	31.3	13.127	3.51	16.008	8.2	16.639	1.69	15.35	0.58	11.372	2.09
13.618	32.1	13.442	3.59	16.41	8.5	17.069	1.79	15.727	0.61	11.62	2.18
13.946	32.6	13.761	3.66	16.817	8.7	17.505	2.2	16.109	0.63	11.871	2.25
14.282	33.5	14.087	3.76	17.235	9	17.95	1.99	16.498	0.65	12.124	2.35
14.62	34.2	14.414	3.83	17.655	9.2	18.399	2.08	16.89	0.68	12.377	2.46
14.961	35	14.746	3.92	18.081	9.4	18.853	2.19	17.286	0.7	12.633	2.57
15.308	35.6	15.082	3.99	18.509	9.6	19.312	2.27	17.687	0.73	12.89	2.67
15.66	36.2	15.423	4.05	18.946	9.8	19.777	2.34	18.094	0.76	13.146	2.76
16.016	36.7	15.767	4.11	19.387	10	20.249	2.41	18.501	0.78	13.403	2.9
16.377	37.2	16.116	4.17	19.834	10.2	20.727	2.48	18.916	0.8	13.66	2.9
16.741	37.7	16.467	4.22	20.286	10.4	21.21	2.55	19.332	0.83	13.916	3
17.11	38.1	16.823	4.27	20.744	10.6	21.7	2.62	19.754	0.85	14.173	3.1
17.483	38.5	17.183	4.31	21.207	10.8	22.195	2.7	20.179	0.87	14.429	3.2
17.893	38.8	17.571	4.35	21.716	11	22.727	2.77	20.67	0.9	14.746	3.3
