4.84	1.2	4.822	0.14	5.263	9.3	5.613	0.26	0	0	5.434	0.0105	6.054	1.43	0	0	4.73	0.25	4.289	0.051
5.033	1.3	5.013	0.15	5.489	9.9	5.851	0.28	0	0	5.66	0.0113	6.327	1.55	0	0	4.929	0.26	4.453	0.054
5.23	1.38	5.208	0.15	5.722	10.5	6.09	0.29	0	0	5.893	0.0122	6.604	1.67	0	0	5.146	0.272	4.633	0.057
5.432	1.5	5.408	0.16	5.961	11.1	6.339	0.31	0	0	6.128	0.0131	6.892	1.81	0	0	5.363	0.28	4.809	0.06
5.636	1.5	5.61	0.17	6.206	11.8	6.587	0.32	0	0	6.37	0.0141	7.183	1.94	0	0	5.589	0.288	4.993	0.063
5.846	1.6	5.816	0.18	6.457	12.5	6.844	0.33	0	0	6.617	0.015	7.484	2.1	0	0	5.817	0.3	5.177	0.067
6.058	1.7	6.026	0.18	6.713	13.2	7.102	0.35	7.243	0.0028	6.867	0.016	7.79	2.25	7.93	0.0185	6.049	0.311	5.362	0.07
6.273	1.7	6.239	0.19	6.977	14	7.367	0.36	0	0	7.116	0.018	8.105	2.4	0	0	6.284	0.321	5.546	0.073
6.495	1.8	6.458	0.2	7.248	14.9	7.636	0.37	0	0	7.374	0.019	8.426	2.59	0	0	6.534	0.335	5.743	0.077
6.72	1.9	6.68	0.21	7.526	15.8	7.91	0.38	0	0	7.635	0.02	8.757	2.78	0	0	6.789	0.347	5.943	0.081
6.949	2	6.905	0.22	7.811	16.7	8.186	0.39	0	0	7.909	0.022	9.088	2.97	0	0	7.058	0.36	6.151	0.085
7.18	2	7.133	0.23	8.102	17.6	8.468	0.4	0	0	8.176	0.023	9.437	3.16	0	0	7.31	0.37	6.341	0.09
7.416	2.1	7.367	0.24	8.402	18.5	8.752	0.41	0	0	8.456	0.025	9.78	3.36	0	0	7.58	0.388	6.545	0.094
7.656	2.2	7.605	0.24	8.709	19.4	9.044	0.44	9.24	0.0026	8.738	0.026	10.144	3.55	10.344	0.0214	7.857	0.406	6.753	0.098
7.899	2.2	7.844	0.25	9.023	20.4	9.342	0.47	9.554	0.0067	9.023	0.027	10.516	3.75	10.733	0.057	8.139	0.424	6.96	0.102
8.146	2.3	8.088	0.26	9.343	21.3	9.646	0.51	9.875	0.0092	9.316	0.029	10.895	3.96	11.13	0.102	8.428	0.445	7.173	0.108
8.398	2.4	8.335	0.27	9.672	22.2	9.955	0.54	10.201	0.012	9.612	0.03	11.285	4.17	11.538	0.16	8.724	0.466	7.387	0.114
8.652	2.5	8.586	0.27	10.01	23.1	10.268	0.56	10.532	0.022	9.91	0.032	11.685	4.4	11.955	0.28	9.027	0.49	7.604	0.119
8.911	2.5	8.84	0.28	10.354	24	10.59	0.59	10.871	0.033	10.217	0.034	12.096	4.6	12.385	0.38	9.337	0.51	7.822	0.124
9.175	2.6	9.099	0.29	10.708	24.9	10.912	0.61	11.211	0.042	10.525	0.036	12.513	4.9	12.82	0.5	9.65	0.54	8.042	0.129
9.443	2.6	9.362	0.29	11.071	25.8	11.242	0.63	11.562	0.052	10.84	0.038	12.942	5.1	13.27	0.62	9.975	0.56	8.266	0.135
9.713	2.7	9.628	0.3	11.443	26.7	11.576	0.65	11.916	0.062	11.16	0.039	13.382	5.4	13.731	0.72	10.309	0.59	8.494	0.141
9.989	2.7	9.899	0.31	11.824	27.6	11.915	0.67	12.275	0.072	11.481	0.041	13.83	5.6	14.199	0.86	10.647	0.62	8.722	0.147
10.268	2.8	10.172	0.31	12.213	28.5	12.261	0.69	12.643	0.081	11.812	0.043	14.291	5.9	14.683	0.97	10.994	0.65	8.953	0.15
10.551	2.8	10.45	0.32	12.614	29.4	12.611	0.7	13.015	0.091	12.142	0.044	14.765	6.2	15.178	1.06	11.349	0.68	9.184	0.16
10.839	2.9	10.731	0.32	13.024	30.4	12.967	0.71	13.393	0.099	12.48	0.045	15.248	6.4	15.685	1.18	11.712	0.71	9.42	0.16
11.13	2.9	11.016	0.32	13.443	31.3	13.328	0.73	13.778	0.108	12.823	0.047	15.742	6.7	16.203	1.3	12.085	0.75	9.658	0.17
11.426	3	11.306	0.33	13.875	32.3	13.694	0.75	14.168	0.119	13.169	0.049	16.249	7.1	16.735	1.4	12.466	0.78	9.897	0.18
11.726	3	11.598	0.34	14.316	33.2	14.066	0.77	14.565	0.129	13.52	0.051	16.77	7.4	17.28	1.51	12.855	0.82	10.137	0.18
12.031	3.1	11.896	0.35	14.77	34.1	14.443	0.79	14.967	0.144	13.877	0.053	17.302	7.7	17.839	1.61	13.255	0.85	10.381	0.19
12.339	3.1	12.196	0.35	15.236	35	14.825	0.81	15.375	0.148	14.236	0.055	17.848	8	18.412	1.7	13.662	0.88	10.622	0.2
12.651	3.2	12.5	0.36	15.711	35.8	15.212	0.84	15.79	0.159	14.601	0.058	18.405	8.3	18.997	1.77	14.082	0.91	10.871	0.21
12.968	3.3	12.809	0.37	16.202	37	15.605	0.86	16.209	0.17	14.97	0.06	18.98	8.6	19.599	1.84	14.511	0.95	11.118	0.22
13.291	4.3	13.127	0.49	16.708	36	16.008	1.15	16.639	0.23	15.35	0.081	19.571	8.5	20.217	1.82	14.953	0.94	11.372	0.29
13.618	5.4	13.442	0.6	17.222	35	16.41	1.41	17.069	0.3	15.727	0.101	20.169	8.5	20.844	1.81	15.4	0.94	11.62	0.36
13.946	6.3	13.761	0.7	17.751	35	16.817	1.7	17.505	0.42	16.109	0.12	20.784	8.6	21.491	1.81	15.861	0.95	11.871	0.43
14.282	6.6	14.087	0.74	18.296	35	17.235	1.8	17.95	0.39	16.498	0.13	21.42	8.6	22.153	1.81	16.333	0.95	12.124	0.47
14.62	6.9	14.414	0.78	18.856	36	17.655	1.9	18.399	0.42	16.89	0.138	22.072	8.8	22.836	1.84	16.819	0.97	12.377	0.5
14.961	7	14.746	0.78	19.427	36	18.081	1.9	18.853	0.44	17.286	0.141	22.735	9	23.527	1.87	17.314	0.99	12.633	0.51
15.308	7.1	15.082	0.79	20.018	36	18.509	1.9	19.312	0.45	17.687	0.145	23.416	9.2	24.241	1.93	17.826	1.01	12.89	0.53
15.66	7.1	15.423	0.8	20.624	37	18.946	1.9	19.777	0.46	18.094	0.149	24.117	9.4	24.971	1.98	18.347	1.02	13.146	0.54
16.016	7.2	15.767	0.81	21.248	37	19.387	2	20.249	0.47	18.501	0.153	24.836	9.5	25.723	2	18.884	1.04	13.403	0.56
16.377	7.2	16.116	0.81	21.889	38	19.834	2	20.727	0.48	18.916	0.16	25.574	9.8	26.492	2.1	19.433	1.06	13.66	0.57
16.741	7.2	16.467	0.81	22.549	38	20.286	2	21.21	0.49	19.332	0.16	26.333	10	27.284	2.2	19.998	1.08	13.916	0.58
17.11	7.2	16.823	0.81	23.227	39	20.744	2	21.7	0.49	19.754	0.16	27.11	10.2	28.094	2.3	20.577	1.11	14.173	0.59
17.483	7.1	17.183	0.8	23.927	39	21.207	2	22.195	0.5	20.179	0.16	27.911	10.5	28.929	2.4	21.173	1.13	14.429	0.59
17.893	7	17.571	0.79	24.65	40	21.716	2	22.727	0.5	20.67	0.16	28.753	10.7	29.796	2.5	21.825	1.16	14.746	0.59
